,English,Spanish
1709,"We are aware that in this age of strategic alliances and millennium mergers - in 1998 USD 2 400 billion was paid out in connection with take-overs - restrictive practices are being held in check, not just by our own rules but also by bilateral cooperation with the USA or Japan, or others, until we get the international competition law we so badly need.","Sabemos que en la era de las estrategias de alianzas y fusiones del milenio -en 1998 se pagaron 2.400 millardos de dólares estadounidenses en operaciones de adquisición-, la contención de las prácticas perjudiciales para la competencia no se limita a nuestras propias normas sino que, mientras no exista un derecho de competencia internacional -¡que es imprescindible que se establezca!-, también pasa por la cooperación bilateral con los Estados Unidos o Japón, o con otros países."
1710,This is particularly true of what Mrs McCarthy said about URBAN.,"En particular, es muy cierto lo que ha dicho la Sra. Arlene McCarthy acerca de Urban."
1711,"However, the situation is hardly better for other parts of the population.","No obstante, la situación no es mucho mejor para otros sectores de la población."
1712,"Minister Gomes, I have, of course, heard what you have said and I hope that cooperation will clearly improve in this respect during the Portuguese Presidency.","Señor ministro Gomes, he escuchado naturalmente su exposición al respecto. Espero en este sentido una clara mejoría de la cooperación durante la Presidencia portuguesa."
1713,"There too, of course, outstanding matters in dispute are the water problem and the situation of the Lebanese Palestinian refugees.",Otros asuntos controvertidos son también el abastecimiento de agua y la situación de los refugiados palestinos en el Líbano.
1714,It was slow in coming but well worth waiting for.,"Ha tardado en llegar, pero la espera ha valido la pena."
1715,"This worries me because this means that, when adopting texts, we are going to be continually threatened by attack from the World Trade Organisation. This will fundamentally weaken European environmental legislation and particularly this proposal.","Eso me preocupa personalmente, porque quiere decir que, si aprobamos este texto, estaremos continuamente bajo la amenaza de un ataque ante la Organización Mundial del Comercio, por lo que la legislación europea en materia de medio ambiente y, en particular, esta propuesta resulta completamente debilitada."
1716,"Human rights do not exist in isolation, they are connected to our development policies, our economic policies, our home affairs policies, indeed they are at the very heart of our democratic functions.","Los derechos humanos no existen en total aislamiento, están conectados con nuestras políticas de desarrollo, con nuestras políticas económicas, con nuestras políticas de asuntos del interior, incluso son el meollo de nuestras funciones democráticas."
1717,"This, Commissioner, is the first commandment for the coming period.","Es, señor Comisario, el primer mandamiento para el próximo período."
1718,The latter has already brought forward its common position on this matter.,Este último ya ha presentado su posición común al respecto.
1719,This is important in the interests of transparency and the overall effectiveness of networks.,Todo esto es fundamental para asegurar la transparencia y la eficacia general de las redes.
1720,There is no reason whatsoever why representatives directly elected by citizens should be involved in talks at a lower level than the Commission.,No hay ningún motivo por el que los representantes elegidos directamente por los ciudadanos deban debatir esto a un nivel inferior que la Comisión.
1721,"Mr President, I would welcome some action in this area.","Presidente, con respecto a esta cuestión quisiera que se emprendiera una acción."
1722,"Madam President, Mr President of the Commission, the Group of the European People' s Party (Christian Democrats) and European Democrats welcomes this debate and we welcome the fact that the Commission submitted a document so that we could prepare for the debate.","Señora Presidenta, señor Presidente de la Comisión, Señorías, el Grupo del Partido Popular Europeo (Demócratacristianos)/Demócratas Europeos acoge con satisfacción este debate y se congratula de que la Comisión haya presentado un documento para su preparación."
1723,The environmental disaster of the sinking of the Erika off Brittany and the spillage of 10 000 tonnes of oil has been widely reported in the British media.,Los medios de comunicación británicos han informado ampliamente sobre el desastre medioambiental del hundimiento del Erika ante las costas de Bretaña y el vertido de 10.000 toneladas de petróleo.
1724,"One might make the claim that there is no need to state it explicitly in writing because it is an obvious point, but I feel that it is a point that should be made in writing because there is every interest in adopting clear texts.","Se puede decir en cualquier parte que no hay necesidad de escribirlo, ya que es evidente, pero por mi parte, deseo que se refleje porque tenemos todo el interés en adoptar textos claros."
1725,"The Community action programme for civil protection, established by a Council decision on 9 December, was launched on 1 January 2000.",El programa de acciones comunitarias en pro de la protección civil instituido por decisión del Consejo del pasado 9 de diciembre se inició el 1º de enero de 2000.
1726,"At present, there are no common rules in this area, and we vigorously urge the Commission to make a point of harmonising the rules on repayment.",Hoy no existe ninguna regla común en este terreno y exhortamos firmemente a la Comisión a que se ocupe de armonizar las normas en materia de devolución.
1727,The financial envelope envisaged for 2000 is EUR 3 million.,La dotación financiera prevista para el 2000 asciende a 3 millones de euros.
1728,"Is it prepared to maintain a democratic veto based on population strengths or is it still moving towards a simple majority vote of Council members, rather than a vote reflecting the population in Europe which they democratically represent?","¿Está dispuesto a mantener un veto democrático basado en el volumen de la población o sigue desplazándose hacia una votación por mayoría sencilla de los miembros del Consejo, en vez de una votación que refleje la población de Europa que representan democráticamente?"
1729,Nor do we do much to really prevent human rights violations.,Ni tampoco se hace mucho para impedir realmente las violaciones de los derechos humanos.
1730,Relating to Wednesday:,Miércoles :
1731,"In the next resolution on the IGC, Parliament must take a long and hard look at the questions of differentiation and flexibility.","En sus resoluciones sobre la próxima CIG, el Parlamento debe aplicarse de lleno en las cuestiones de la diferenciación interna y de la flexibilidad."
1732,Version 3 is already much weaker than Version 2 following the comments of US industry as relayed by the US Government.,"En efecto, la tercera versión era ya más débil que la segunda, a raíz de las observaciones formuladas por la industria americana por mediación del Gobierno americano."
1733,"Both the Commission and the Portuguese Presidency of the Council state, in their respective working programmes, that they wish to give coherence to those policies which have a very important impact on the developing countries, but they do not specify concrete measures aimed at introducing this coherence.","Tanto la Comisión como la Presidencia portuguesa del Consejo recogen en sus respectivos planes de trabajo la voluntad de dotar de coherencia a las políticas que tienen un impacto muy importante en los países en desarrollo, pero sin especificar medidas concretas en las que se traduzca esta coherencia."
1734,"Madam President, I clearly owe Mr Wurtz an explanation, and I am going give this explanation before the whole House.","Señora Presidenta, efectivamente yo le debo una explicación al Sr. Wurtz, y se la voy a dar a todo el Parlamento."
1735,"Surely it is now about time that not only the Member States but that toothless tiger that is known as the International Maritime Organisation, and last but not least, the oil companies and tanker owners take on their responsibilities by acting to stop these ecological and human tragedies repeating themselves year after year.","No cabe duda de que ya es hora de que no sólo los Estados miembros, sino también ese tigre desdentado denominado Organización Marítima Internacional y las compañías petroleras y los propietarios de los buques -a los que caben no menos responsabilidades- asuman sus responsabilidades adoptando medidas para poner fin a esas tragedias ecológicas y humanas que se repiten año tras año."
1736,"Commissioner, this morning President Prodi, among others, stressed that the Balkans are testing our ability to act effectively, the very credibility of the European Union is on trial, and the gap between words and deeds must finally be closed.","Señor Comisario, hoy por la mañana el Presidente de la Comisión, Sr. Prodi, entre otras cosas, ha subrayado que en los Balcanes se está poniendo a prueba nuestra capacidad de actuar con eficacia, que está en tela de juicio la propia credibilidad de la Unión Europea y que, de una vez por todas, debemos acabar con el desfase entre palabras y obras."
1737,The whole question as to whether we have the legal authority to do this has been outlined by Mrs Palacio.,La Sra. Palacio ha expuesto en líneas generales la cuestión de si tenemos la autoridad legal para hacerlo.
1738,"First of all, I am sure that the honourable Member recognises that over the period of the 1990s the government in Belgrade underfunded the health service in Kosovo, and many Albanians found that they were not really receiving any health care at all.","En primer lugar, estoy seguro de que su Señoría reconoce que durante el período de los años noventa, el Gobierno de Belgrado recortó los fondos destinados al servicio sanitario de Kosovo, y muchos albaneses descubrieron que no estaban recibiendo ningún tipo de asistencia sanitaria."
1739,How are priorities supposed to be set here?,¿Cómo se van a establecer allí las prioridades?
1740,"Africa has the largest number of refugees in the world, the most overall poverty and a debilitating AIDS epidemic.","En África se encuentra la mayor cantidad de refugiados, la mayor pobreza del mundo y hay una cruel epidemia de SIDA."
1741,Decisions on asylum should take months - not years.,Las decisiones sobre el asilo deberían adoptarse en meses ­no en años.
1742,"In terms of balance, or should I say imbalance, I must add that it is to be regretted that Europe is still playing a minor political role in resolving this conflict.","A propósito de equilibrio, o más bien, en este caso, de desequilibrio, quisiera añadir hasta qué punto es una lástima una vez más tener que constatar ahora el débil papel político que juega Europa en la resolución de este conflicto."
1743,The ACP-EU Joint Assembly meets again in a few weeks time and I am sure this subject will be dealt with there.,Dentro de unas semanas se reunirá de nuevo la Asamblea Paritaria ACP-UE y estoy seguro de que este tema será tratado en su seno.
1744,Both the Commission and the Council have been making very optimistic speeches here today as well.,Tanto la Comisión como el Consejo han realizado hoy aquí unas intervenciones muy esperanzadoras.
1745,"Mr President, once again we are debating the European Union' s competition policy.","Señor Presidente, una vez más debatimos la política de competencia de la Unión Europea."
1746,"This report confirms that whereas an average level of development is given a rating of 100, the ten so-called ""strongest"" regions reached an average of 158, and the ten so-called ""weakest"" regions reached a figure of around 50.","En él se confirma que, para un nivel medio de desarrollo al que se atribuye el grado 100, las diez regiones designadas como ""más fuertes"" alcanzan la media de 158 y las diez denominadas ""más débiles"" rondan el 50."
1747,The Council is aware of the critical level of anchovy stocks in the Bay of Biscay to which Mr Ortuondo Larrea refers.,El Consejo es consciente de la crítica situación de las poblaciones de boquerón en el mar Cantábrico a la que se refiere Su Señoría.
1748,Those programmes themselves are intended to ensure that agriculture has a more soundly based position in those societies and does not consist simply of raping the land.,Estos programas en sí están destinados a garantizar que la agricultura tenga una posición más sólida en esas sociedades y que no consista simplemente en esquilmar la tierra.
1749,"Mr President, our group welcomes the horizontal thrust of the EQUAL initiative so that, if you are a British Muslim physically disabled in some way you no longer have to chose which category of discrimination you belong to as a target group: you can use your expertise and experience to solve problems, rather than being defined as the problem.","Señor Presidente, mi Grupo acoge con satisfacción el carácter horizontal de la iniciativa EQUAL, gracias al cual, si eres un musulmán británico con alguna discapacidad física ya no tienes que elegir a qué categoría de discriminación perteneces como objetivo de un programa: puedes usar tu pericia y experiencia para resolver problemas, en vez de ser definido como el problema."
1750,France contributes 17% of the European budget yet will receive only 8% of the regional Structural Funds.,"Francia, que contribuye con un 17 % al presupuesto europeo, no recibirá más que un 8 % de los Fondos Estructurales regionales."
1751,"The tax has the support of 47% of the people in the UK, according to a recent survey by War on Want.","Este impuesto cuenta con el apoyo del 47% de los habitantes del Reino Unido, según una reciente encuesta de War on Want."
1752,"While the reform strategy White Paper will clearly outline our ideas on these and other points, detail and precision are obviously essential.","Mientras el Libro Blanco sobre la estrategia para la reforma va a perfilar nuestras ideas sobre estas y otras cuestiones, es evidente que los detalles y las precisiones son esenciales."
1753,"It simply adds to them, complements them, building a bridge between the various cultures of our various countries.","Es simplemente una adición, una complementariedad, es la construcción de un puente entre las diferentes culturas de nuestros diferentes países."
1754,"Mr President, I would like to thank the rapporteur for some excellent work in drafting this important directive.","Señor Presidente, felicito a la ponente por su meritorio trabajo en la elaboración de esta importante directiva."
1755,It is dealt with by means of a general clause which does not provide any definition.,Esto es tratado en una cláusula general que carece de definición.
1756,"Admittedly, this reform is one of increasing flexibility rather than dismantling.","Claro es que, en este caso, la reforma consiste en favorecer la flexibilidad y no en el desmantelamiento."
1757,"I was able to talk to Prime Minister Bülent Ecevit about this issue when I visited Ankara myself, and although we are aware of the difficulties and sensitivity associated with Turkey' s particular approach to this question, I believe that there is a window of opportunity that we must not miss.","Yo mismo estuve en Ankara, donde tuve oportunidad de hablar con el Primer Ministro Bülent Ecevit a ese respecto, y, pese a que conocemos las dificultades, la sensibilidad específica y la propia idiosincrasia del planteamiento turco de esa cuestión, considero que se abre una ventana de oportunidad que no se puede desaprovechar."
1758,"Commissioner, Madam President, ladies and gentlemen, I can be quite frank in saying that I welcome the Council's common position on harmonising the training of safety advisers for the transport of dangerous goods by road, rail or inland waterway.",". (DE) Distinguida señora Comisaria, distinguida señora Presidenta, estimados colegas, celebro sobremanera la posición común del Consejo sobre la armonización de la formación de los consejeros de seguridad para el transporte de mercancías peligrosas por carretera, por ferrocarril o por vías navegables."
1759,"Mr President, Mr Andersson' s report contains a lot that is of interest.","Señor Presidente, el informe del Sr. Andersson contiene muchas cosas interesantes."
1760,"The document is unfair both to Austrian Members of the European Parliament, and to members of the Austrian national parliament, and it smacks slightly of jealousy and political interests, but also of business.","El documento es injusto en lo que se refiere a los colegas austríacos tanto diputados nacionales como diputados europeos y huele a celos y a intereses políticos, así como a negocios."
1761,"It is true, Commissioner, that the Commission is not a machine for manufacturing legal certainty.","Y es verdad, señor Comisario, que la Comisión no es una máquina de fabricar seguridad jurídica."
1762,"I therefore appeal to the President of this House and the President of the Commission for them to stand surety for immediate compensation from the U.S. authorities, and this is in order to uphold the rights of the victims' families.","Por lo tanto, hago un llamamiento al Presidente de este Pleno y al Presidente de la Comisión para que aseguren la inmediata indemnización frente a las autoridades estadounidenses y ello en defensa de las familias de las víctimas."
1763,"We do not, in principle, oppose this industry.","En principio, nosotros no nos oponemos a esta industria."
1764,"It seems to me that we need to give this some thought, as these cases will no longer fall to the Court of First Instance of course but to the Court of Justice as draft decisions.","Este asunto es digno de reflexión puesto que, de este modo, dichos casos ya no irán a parar al Tribunal de Primera Instancia, sino que serán tramitados por el Tribunal de Justicia como resoluciones de remisión."
1765,They are no substitute for rigorous regular inspection.,No pueden substituir una inspección periódica y rigurosa.
1766,"The meeting held in Beijing in October 1999 confirmed that, on the one hand, the Chinese authorities were willing to make concessions on issues relating to the dialogue itself, with a restructuring of the dialogue and of discussion of legal forms of repression such as the death penalty and administrative detention. On the other hand, they will not give any ground on the pivotal questions of the single party system and territorial integrity.","La reunión celebrada en Pekín, en octubre de 1999, confirmó que, por un lado, las autoridades chinas estaban dispuestas a hacer concesiones sobre cuestiones relacionadas con el propio diálogo, como su reestructuración, y con el debate sobre las normas jurídicas de represión (pena de muerte, detención administrativa), pero, por otro lado, no iban a ceder en cuanto a las cuestiones fulcrales relacionadas con el sistema de partido único y la integridad territorial."
1767,"I am sceptical about the detailed regulations that might result from the Commission' s having to deal with the scope and quality of child care and care of the elderly, and I am sceptical about the value of a common poverty threshold.",Me muestro escéptico ante la detallada regulación que podría ser el resultado de que la Comisión vaya a mostrar su opinión sobre el alcance y calidad del cuidado infantil y de ancianos y escéptico ante el valor de un umbral de pobreza común.
1768,The torrent of confusion and rash actions that has been unleashed over Austria has blown things out of all proportion. It has caused considerable distress to decent citizens and evokes risks that had previously not even been considered.,"La cascada de confusiones y precipitaciones desencadenada sobre Austria combina toda clase de despropósitos, perturba mucho a los ciudadanos de buena fe y representa riesgos que no se han tenido en cuenta."
1769,Financing from the 2001 budget must also be negotiated as we want this initiative not just to be an experiment but to last throughout both 2000 and 2001. It will therefore be ongoing throughout the negotiation of the Intergovernmental Conference and the ratification process.,"Habrá que negociar una dotación con cargo al presupuesto 2001, porque queremos llevar a cabo esta idea y aplicarla no sólo de forma experimental, sino también bastante duradera en 2000 y 2001, es decir, durante el período de negociación de la Conferencia Intergubernamental y del proceso de ratificación."
1770,The Lisbon Summit will provide an excellent opportunity to present a strategy of this kind.,La Cumbre de Lisboa es una excelente oportunidad para presentar una estrategia de esta naturaleza.
1771,"Under the European Community' s damage assessment, estimated costs of the reconstruction of healthcare facilities and provision of equipment to dispensaries and health houses amount to EUR 4 million.","Según la evaluación de daños realizada por la Comunidad Europea, los costes estimados de la reconstrucción del sistema sanitario y el suministro de equipos a los dispensarios y centros médicos se elevan a 4 millones de euros."
1772,"However, my criticism - and I freely admit this - my rage, is directed exclusively against those who have provoked these reactions and continue to do so, Messrs Schüssel and Haider and their parties, ...","Pero mi crítica -y lo digo abiertamente- mi rabia, se dirige exclusivamente contra aquellos que han provocado y provocan estas reacciones, los Sres. Schüssel y Haider y sus partidos ..."
1773,"This debate is now before us, but each and every one of us, male and female, is going to assume their responsibilities without delay.","Tenemos este debate ante nosotros, pero cada uno de nosotros va a asumir sin demora sus responsabilidades."
1774,"We would also underline the importance of the way in which the strategy is handled. On the one hand, it would be useful to have guidelines and a process styled on Luxembourg, but we also think it is important, as is already mentioned by Mrs Van Lancker, that guidelines are drafted to accommodate less typical work scenarios, such as sole traders, etc.","También queremos hacer hincapié en la importancia del cómo se abordan, por una parte, al igual que en la estrategia de Luxemburgo, por medio de directrices, pero también pensamos que es importante que se redacten directivas, ya lo ha dicho la Sra. Van Lancker anteriormente, por ejemplo en relación con el trabajo atípico, trabajadores autónomos sin personal, etcétera."
1775,"Mr President, I want to thank the Co-President of the Joint ACP-EU Assembly, Mr Corrie. It was no easy task to draw up a report on a complicated forum like the ACP-EU Assembly.","Señor Presidente, doy mi enhorabuena al señor Corrie, copresidente de la Asamblea Paritaria ACP-UE, que ha tenido la tarea nada fácil de elaborar un informe sobre el difícil asunto de la Asamblea Paritaria ACP-UE."
1776,The honourable Member raised the question.,Su Señoría ha planteado la cuestión.
1777,I want special-purpose vehicles such as ambulances to have high recovery quotas.,Desearía que los vehículos especiales como las ambulancias tuvieran unas altas cuotas de rescate.
1778,There was no majority for this at the time.,Entonces ninguna consiguió un respaldo mayoritario.
1779,"As this voting matter is vital to the democratic future of this Union, surely it should receive priority consideration.","Como la cuestión de la votación es de importancia vital para el futuro democrática de esta Unión, me supongo que recibirá consideración prioritaria."
1780,"For example - I believe the honourable Member referred to this - no excise taxes are applied on wine in France, whereas they are applied in the United Kingdom.","Por ejemplo, en Francia -y creo que es a lo que se refería su Señoría- el vino está exento de impuestos especiales, mientras que en el Reino Unido no lo está."
1781,"Mr President, all over the world work is being done to resolve long-standing conflicts and bring together communities divided by history and by old tribal enmities and hatreds.","Señor Presidente, en todo el mundo se está trabajando a fin de resolver los conflictos de larga data y para reunir a las comunidades divididas por la historia y por odios y antiguas enemistades tribales."
1782,"If it chooses the second approach, it must be aware that this presents risks and that it will weaken the basis on which the area of freedom, security and justice is built.","Si elige el segundo camino, debe saber que ello tiene riesgos y que debilitará las bases sobre las que se asienta el espacio de justicia, libertad y seguridad."
1783,I propose that we start the debate immediately.,Propongo a Sus Señorías que iniciemos el debate sin más tardar.
1784,"Faced with this neoliberal globalisation dominated by the financial markets, demand, as our motion recognises, is developing from a different idea of the world in which common law stipulates a duty of solidarity in an increasingly interdependent world.","Frente a esta globalización neoliberal, bajo la dominación de los mercados financieros, aumenta la exigencia, de la que es testigo nuestra petición, de otra idea del mundo según la cual la ley común sería la que dicta el deber de solidaridad en un mundo cada vez más interdependiente."
1785,"Furthermore, the Portuguese Presidency of the European Union has decided, following the example of previous presidencies, to appoint a representative to establish contacts with the various parties involved in this issue. This representative has already contacted all these parties and has, in close cooperation with the representative of the Secretary-General of the United Nations, been monitoring and assisting with the work of the various rounds.","Por lo demás, la Presidencia portuguesa de la Unión Europea, siguiendo el ejemplo de lo que hicieron Presidencias anteriores, ha decidido indicar un representante para que tengan contactos con las diversas partes interesadas al respecto, quien ya se ha puesto en contacto con ellas y, en estrecha relación con el Representante del Secretario General de las Naciones Unidas, ha ido siguiendo los trabajos de varias rondas."
1786,"Mr President, the importance of this initiative is increasing constantly as economic and social problems in Europe' s cities intensify and the public feels more and more out of touch with the administration of its city or neighbourhood.","Señor Presidente, la importancia de esta iniciativa es tanto mayor cuanto que los problemas económicos y sociales se intensifican en las grandes ciudades de Europa y que sus ciudadanos se sienten ajenos a la administración de su ciudad o de su barrio."
1787,"However, our current situation is as follows: at 11.3%, we have the second highest unemployment in Europe, which was not previously the case, we have the biggest increase in unemployment, we spend less than anyone else on the unemployed, i.e. less than 1% of GDP, while other countries, such as France, Belgium and Germany spend 3-4%, and it is not clear how the money received from the Social Fund has been used, inter alia, to combat unemployment.","Con todo, señora Comisaria, nos encontramos en la siguiente situación: ocupamos el segundo lugar en cifras de paro en Europa, es decir, el 11,3% -no lo ocupábamos anteriormente-, tenemos el mayor índice de aumento del paro, gastamos menos que nadie en los parados, es decir, menos del 1% del PIB, cuando los demás países gastan el 3 ó el 4% (Francia, Bélgica y Alemania, por ejemplo), y además no está claro cómo se gastaron los dineros del Fondo Social Europeo concedidos, entre otras cosas, para la lucha contra el paro."
1788,It is a retrograde step.,Es un paso atrás.
1789,We are solidly with our Austrian friends who have proven to be good Europeans in the past.,"Nosotros somos solidarios con nuestros amigos austríacos, que en el pasado han demostrado ser buenos europeos."
1790,"Well, we cannot accept such statements.","Pues bien, no podemos aceptar esas declaraciones."
1791,The Commission also supports the proposed flexible period of validity of the card.,La Comisión apoya también la propuesta de un periodo de validez flexible de la tarjeta.
1792,"However, it is still the responsibility of the Member States' management authorities to select the projects to be implemented within these CSFs.",La selección de los proyectos que se ejecutan en el marco de esos MCA sigue siendo competencia de las autoridades de gestión de los Estados miembros.
1793,"We need proper information, given in a proper way and we all have to take this whole process a lot more seriously than in the past.",Necesitamos información pertinente que nos sea facilitada adecuadamente y debemos tomarnos todo este proceso con mucha más seriedad que en el pasado.
1794,This is no longer tolerable.,Eso ya no es tolerable.
1795,"Mr President, I welcome the statement from the Commissioner.","Señor Presidente, acojo con beneplácito la declaración de la Comisaria."
1796,"However, this does not blind us to the fact that the majority of resources - 50-80% - will be reserved for cross-border cooperation, for INTERREG IIIA. Therefore, we still think the decision to consolidate the current areas of cooperation in this strand, regarding the selection of eligible regions, is wrong and contradictory.","Sin embargo, esto no nos impide ser conscientes del hecho de que la mayor parte de los recursos -entre el 50 y el 80%- se reservará a la cooperación transfronteriza, al capítulo A del programa INTERREG III; por lo tanto, ya se ha elegido la opción de consolidar en este capítulo los actuales campos de cooperación, una elección que en lo relativo a las regiones admisibles seguimos considerando errada y contradictoria."
1797,"This, however, presupposes that we set up an internal scheme quickly in order to be able to guarantee the confidentiality of sensitive documents.",Ello implica que debemos adoptar rápidamente un reglamento interno para poder garantizar la confidencialidad de los documentos sensibles.
1798,"There is absolutely nothing in the resolution on border controls. Even when the question of Eurodac or readmission clauses is briefly mentioned, it is only to deplore the over-strictness of the Council on these subjects.","No hay nada en la resolución sobre el control de las fronteras, y cuando ésta aborda, brevemente, la cuestión de Eurodac o la de los acuerdos de readmisión, es para deplorar la firmeza excesivamente grande del Consejo sobre estos temas."
1799,"As Commissioner Vitorino will have noted in all the various speeches, the need has emerged to draw up a framework of common rules, which is to say that we cannot continue in this manner, with this disparate agenda, with these piecemeal agreements which relate to diverse sectors such as that of investigation.","Como habrá podido comprobar el Comisario Sr. Vitorino a raíz de las distintas intervenciones, aflora la necesidad de elaborar un marco de normas comunes, esto es, de no seguir avanzando de esta manera, con este orden disperso, con estos pequeños convenios que abarcan distintos sectores como el de las investigaciones u otros."
1800,Cultural activity creates identity.,La actividad cultural crea una identidad.
1801,"Madam President, ladies and gentlemen, we have now come to the end of a long road.","Señora Presidenta, Señorías, ya hemos llegado al final de un largo recorrido."
1802,"Firstly, an increase in police numbers would be an important factor in guaranteeing the safety of the civilian population and, in particular, in protecting certain sections of the civilian population. Secondly, an increase in appropriations would allow some officials who have important roles in the administrative and operational process in Kosovo to be kept on.","En particular, hay dos cuestiones esenciales: en primer lugar, el aumento de los refuerzos policiales, que era un elemento importante para la garantía de las poblaciones civiles y, en particular, para la protección de determinadas poblaciones civiles, y el aumento de asignaciones que permitiera, en particular, el mantenimiento de algunos funcionarios con funciones importantes en el proceso, digámoslo así, administrativo y funcional dentro de Kosovo."
1803,"Mr Poettering, it is interesting to note that you are in almost as difficult a position as I am, albeit for different reasons, for you are having to defend something that goes against your convictions.","Estimado colega Poettering, es interesante, usted está hoy en una posición casi tan difícil como yo, si bien por otros motivos pues usted tiene que defender algo que no quiere defender."
1804,"I wish insistently to remind the Council and, should it be necessary, Parliament, that we should not continue to allow a gap to develop between our rhetoric and what we are actually capable of doing.","Deseo recordar de nuevo al Consejo y, si fuera necesario, al Parlamento, que no debemos seguir permitiendo que se produzca una fractura entre nuestra retórica y lo que realmente somos capaces de hacer."
1805,"In order to function, the market needs rules.",El mercado necesita normas para funcionar.
1806,"In conclusion, since I do not think I need to say much, given the unanimity that exists here, I just want to make one brief remark to the President-in-Office. I think that there are some peculiarities in his position.","Finalmente, a la vista del acuerdo que aquí reina, no veo la necesidad de extenderme, quiero hacer simplemente una observación al Presidente en ejercicio del Consejo; considero que ha habido algo raro en su intervención."
1807,"And I would also say this to you, Commissioner: please, deliver the beef even if it is British.","Y también quiero decirle lo siguiente, señor Comisario: Por favor, entréguenos la carne aunque sea británica."
1808,"Mr President, I would like to thank Mr Langen - although he is not actually here - for the work he has done to carry through the programme both in Parliament and in the Council.","Señor Presidente, doy las gracias al Sr. Langen -aunque no esté presente- por el trabajo que ha realizado para que este programa sea aprobado tanto en el Parlamento, como en el Consejo."
1809,Are there so many other European schemes which can boast 800 specific original experiments which were particularly successful?,¿Tantas otras acciones europeas hay que puedan vanagloriarse de haber realizado con notable éxito 800 experiencias originales específicas?
1810,"We shall be monitoring each Commissioner carefully, so the other Commissioners have now been forewarned.",Vamos a controlar minuciosamente a cada uno de los Comisarios; de esta manera quiero advertirles también a los otros.
1811,We must also ensure that the food that is imported into the European Union meets the standards within the European Union.,"Asimismo, debemos garantizar que los productos alimenticios que importa la Unión Europea se ajustan a las normas comunitarias en vigor."
1812,"In concrete terms, 3 000 tonnes represent 57.5% of Portugal' s fishing opportunities in 2000 against 5 008 tonnes or 73.9% in 1999.","Concretamente, 3.000 toneladas representan el 57,5% de las posibilidades de pesca de Portugal en el año 2000, frente a 5.008 toneladas, o el 73,9%, en 1999."
1813,"By entrepreneurship I do not simply mean the ownership of business, but creating will.","Y con espíritu emprendedor no me refiero exclusivamente al hecho de tener en propiedad una empresa, sino que entiendo la expresión como un estado de la voluntad."
1814,This can only be detected if controls undertaken are more rigorous.,Esto sólo se puede comprobar si se realizan controles más intensos.
1815,"Commissioner, we must be consistent.","Señora Comisaria, seamos consecuentes."
1816,"(NL) Mr President, I would like to start by congratulating the rapporteur on the work that she has carried out.","(NL) Señor Presidente, quisiera empezar felicitando a la ponente por el trabajo que ha realizado."
1817,Are there any comments?,¿Hay alguna observación?
1818,This loss is unjustified in a region whose main activities have been ruined by free-trade Europe.,Supresión injustificada en una región en la que las actividades principales se han visto arruinadas por la Europa librecambista.
1819,By focusing the Community's development policy on internationally agreed targets and strategies we will pave the way for better complementarity with the Member States.,"Si centramos la política de desarrollo comunitaria en estrategias y objetivos convenidos en el plano internacional, prepararemos el camino para una mejor complementariedad con los Estados miembros."
1820,"This does not happen all that often and it is gratifying, especially as the LEADER programmes have been key elements in the Union' s rural development policy.","Esto, que no es demasiado frecuente, es gratificante, dado que los programas LEADER han sido puntos clave en la política de la Unión para el desarrollo rural."
1821,"Mr President, I also wish to congratulate Mr van Hulten on this first piece of work which he is presenting to the House.","Señor Presidente, yo también quiero felicitar a mi compañero Van Hulten por este primer trabajo que presenta en el Pleno."
1822,"Following the statement of the Presidency-in-Office of the Council and the Commission, I believe we can all agree that the current situation with regard to human rights is far removed from what we would all like to see.","Creo que, después de la declaración de la Presidencia en ejercicio del Consejo y de la Comisión, podemos estar todos de acuerdo en que la situación actual en lo que se refiere a los derechos humanos dista mucho de ser la que todos desearíamos."
1823,The Commission thereby gave a practical demonstration of its commitment to one of the essential pillars: that of the rule of law. This principle means that the Commission must act within the limits laid down by the Treaties and it is in this context that the statement of 1 February was made.,"La Comisión demostró así, en la práctica, su apego a uno de los principios básicos -el del Estado de derecho-, que impone a la Comisión la obligación de actuar dentro de los límites establecidos por los Tratados y en ese marco se sitúa la declaración de 1 de febrero."
1824,Are reducing the disparities between levels of development and the consequent promotion of real convergence objectives that we have already achieved?,¿Serán objetivos ya alcanzados la reducción de la disparidad entre niveles de desarrollo y la consiguiente promoción de la convergencia?
1825,"Mr President, ladies and gentlemen, as you know, the European Union played an active role in the 55th session of the Human Rights Commission held in Geneva in March and April 1999.","Señor Presidente, Señorías, como es sabido, la Unión Europea desempeñó un papel activo en el quincuagésimo quinto período de sesiones de la Comisión de Derechos Humanos, celebrada en Ginebra en marzo y abril de 1999."
1826,"The question is, furthermore, one of whether the two cases should be treated in the same way.",La cuestión es entonces si se deberían considerar los dos casos de igual forma.
1827,Parliament asked the Commission to waive its excessive privileges.,El Parlamento pidió a la Comisión que abandonara sus privilegios desmedidos.
1828,The issue of company closures and mass redundancies is one which has been and still is very firmly in the news.,"Finalmente, un tema que ocupa la actualidad, y que la ocupa con fuerza, es el de los cierres de empresas y despidos colectivos."
1829,"Amendments Nos 17, 18, 27, 34, 36, 38, 44 and 45 relate to the manufacturer' s liability.","Las enmiendas 17, 18, 27, 34, 36, 38, 44 y 45 se refieren a la responsabilidad de los fabricantes."
