,English,German
2192,"Mr President, Mrs Stenzel, ladies and gentlemen, before addressing the EQUAL report itself, I should like to make a point of principle in connection with the employment guidelines on which the report is based.","Sehr geehrter Herr Präsident, sehr geehrte Berichterstatterin, sehr geehrte Kolleginnen und Kollegen! Bevor ich näher auf den EQUAL-Bericht zu sprechen komme, möchte ich noch etwas Grundsätzliches zu den Beschäftigungsleitlinien sagen, auf denen der Bericht basiert."
2193,The Commission proposal accords the Commission a central role in establishing guidelines on competition policy.,In dem Kommissionsvorschlag wird der Kommission eine zentrale Rolle bei der Festlegung der wettbewerbspolitischen Leitlinien zuerkannt.
2194,I think that a number of MEPs will make reference to this.,Einige Kollegen werden sich dazu wohl noch äußern.
2195,"Fourthly, as Parliament ascribes so much value to LIFE, it has allocated ever-greater appropriations to this project in its annual budget. This means that approving the proposal put forward by the Council and by the Commission would represent an unacceptable reversal of this trend.","Viertens hat das Parlament aufgrund der Bedeutung, die es LIFE beimißt, in seinem Jahreshaushalt für dieses Programm eine Aufstockung der Mittelzuweisungen festgeschrieben, so daß die Annahme des vom Rat und von der Kommission vertretenen Vorschlags eine inakzeptable Umkehrung dieser Tendenz bedeuten würde."
2196,"We all know that there are still various parts of the Treaty, some of them very old, which are still referred to as EC.","Wir alle wissen, daß es noch unterschiedliche Vertragsbestandteile, zum Teil sehr alte Vertragsbestandteile gibt, die noch EG heißen."
2197,One final remark regarding the Internet and globalisation.,Eine letzte Bemerkung zum Internet und zur Globalisierung.
2198,Agriculture only provides 5.5% of employment in the Union.,"Die Landwirtschaft stellt nur 5,5 % der Arbeitsplätze der Union."
2199,"The question which I therefore ask myself is this: has in fact a start been made on how we can promote the media in this area, how we can train journalists and how we can improve information to the public on peaceful coexistence?","Deshalb stellt sich für mich die Frage: Gibt es eigentlich Ansätze, wie wir in diesem Gebiet die Medien fördern können, wie wir Journalisten ausbilden können und wie wir die Öffentlichkeit besser über ein friedliches Zusammenleben informieren können?"
2200,"What we cannot do, Commissioner - and I would like to end on this note - is to give way, and give ammunition, to those who regard the European institutions as the property of the great and the good, of the rich, and not of the citizen, or the small and medium business, which, in the worst case scenario - which will never become reality because the requisite measures will be applied to prevent it - will result in courts which make disparate judgements, very late, with no real possibility of control apart from what the French call ""le parcours du combatant"", that is to say, after Lord knows how many years, when the Court in Luxembourg passes judgement, a Court which we know to be inundated at the moment.","Was wir nicht tun dürfen, Herr Kommissar - und mit diesem Gedanken möchte ich schließen -, ist, denjenigen Gründe oder Waffen zu liefern, die die europäischen Institutionen als eine Angelegenheit für die Großen, für die Wichtigen, für die Reichen, nicht für den Bürger, nicht für die kleinen und mittelständischen Unternehmen darstellen, was zu der schlimmsten Vision führen würde - die nicht Realität werden wird, weil ausreichende Maßnahmen zu ihrer Vermeidung getroffen werden -, daß es nämlich Gerichte gibt, die abweichende Urteile sprechen, zu spät und ohne wirkliche Möglichkeit, dies zu kontrollieren, es sei denn mit dem, was die Franzosen als ""le parcours du combatant "" bezeichnen, das heißt, nach ich weiß nicht wieviel Jahren, wenn der Luxemburger Gerichtshof entscheidet, von dem wir wissen, daß er gegenwärtig sehr stark belastet ist."
2201,"I believe it is only a coincidence, but the Commissioner for the Environment is also, of course, to participate in this group.","Ich glaube, es ist reiner Zufall, daß dies vergessen worden ist, aber natürlich sollte auch das für die Umwelt zuständige Kommissionsmitglied dieser Gruppe angehören."
2202,I would like to remind the House that we adopted an own initiative report on the technical feasibility of trans-European water networks two years ago and I would be most obliged if the European Commission could shortly tell Parliament what action it has taken on that report.,"Ich möchte daran erinnern, daß unser Parlament vor zwei Jahren einen Initiativbericht zur technischen Durchführbarkeit der transeuropäischen Wasserversorgungsnetze verabschiedet hat, und ich würde es begrüßen, wenn die Europäische Kommission das Europäische Parlament in Kürze über die Umsetzung dieses Berichts informieren könnte."
2203,"I have also expressed concern in the past about the use of simple language and not using jargon, so that it becomes accessible to everyone.","In der Vergangenheit habe ich auch immer wieder darauf hingewiesen, daß anstelle von Fachjargon eine einfache Sprache verwendet werden muß, damit Verständlichkeit für jedermann gewährleistet ist."
2204,I personally believe that the scope of the directive goes beyond its objective.,"Ich persönlich glaube, daß der Geltungsbereich dieser Richtlinie über das Ziel hinausschießt."
2205,Will Israel let Palestinian refugees return or be given compensation?,Wird Israel die palästinensischen Flüchtlinge zurückkehren lassen oder ihnen eine Entschädigung anbieten?
2206,"A document is circulating at the moment - not at a low level, but at a high level within the Commission - which, instead of enhancing the public nature of documents, is having the opposite effect.","Momentan befindet sich nun auch ein Dokument in Umlauf, nicht auf der unteren, sondern auf der oberen Ebene in der Kommission, mit dem die Öffentlichkeit von Unterlagen nicht verbessert, sondern nachgerade verschlechtert wird."
2207,As early as last June the Commission financed a first study.,Bereits im Juni des vergangenen Jahres finanzierte die Kommission eine erste Studie.
2208,"We must therefore try to reconcile the two requirements - Parliament is sometimes a little extremist, adopting positions that are either extremely pro-green or extremely anti-green - and, all things considered, find a way to combine the effort made by Mr Florenz and that of other Members, who are trying to reconcile the two positions as best as possible.","Deshalb sollte man meines Erachtens versuchen, die beiden Erfordernisse miteinander in Einklang zu bringen - ich stelle in diesem Parlament zuweilen eine etwas extremistische Haltung fest, d. h. es werden entweder radikal grüne oder diametral entgegengesetzte Standpunkte vertreten - und eine Synthese zu finden, wie sie meines Erachtens alles in allem die Bemühungen von Herrn Florenz und anderen Abgeordneten, beide Standpunkte irgendwie in Übereinstimmung zu bringen, darstellen."
2209,SAVE,Save
2210,In them we say that the forthcoming IGC must look into a decision-making system that pays greater attention to national sovereignty.,"Wir fordern darin, daß die nächste Regierungskonferenz über ein Entscheidungsverfahren nachdenkt, mit dem die nationale Souveränität der Staaten besser gewahrt bleibt."
2211,"The Tenth United Nations Conference on Trade and Development is being held right now in Bangkok, and is suffering the consequences of that failure.",Gerade jetzt und unter dem offensichtlichen Einfluß dieses Mißerfolgs findet auch in Bangkok die 10. Konferenz der Vereinten Nationen für Handel und Entwicklung statt.
2212,"The reasons for adjustments are, for example, to improve employment, reduce social security expenditure, but are also due to policy competition and EMU criteria.","Die Angleichungen sind beispielsweise auf die Förderung der Beschäftigung, die Senkung der Sozialausgaben, aber auch auf den Wettbewerb und die WWU-Kriterien zurückzuführen."
2213,"Therefore, apart from the apology which Mr Schüssel has made, offering us all kinds of guarantees, as did Chamberlain and Daladier in 1938 in Munich, I would like to know whether the PPE intends to implement measures in relation to the Austrian People' s Party, if it goes ahead with this mad project.","Deshalb möchte ich wissen, ob die PPE, abgesehen von der Verteidigungsrede des Herrn Schüssel, der uns alles garantieren wird, wie es Chamberlain und Daladier 1938 in München taten, Maßnahmen in bezug auf die Österreichische Volkspartei zu ergreifen gedenkt, wenn sie dieses wahnsinnige Vorhaben fortsetzt."
2214,We must therefore take these memorandums into consideration and produce an extremely thorough piece of work.,"Nun geht es darum, diese Unterlagen zu berücksichtigen und sehr sorgfältig auszuwerten."
2215,"A system, such as the current one, which is capable of making so few decisions, be they approvals or prohibitions, is something less than a valid system.","Ein System, das nur so wenige Entscheidungen hinsichtlich Genehmigung oder Verbot anbieten kann wie das geltende, ist alles andere als gesund."
2216,"It is a question of objectives that must be pursued as a priority. For some time, we have all agreed on this notion, but we must also clearly affirm that these objectives will not be achieved without enlargement, even if this comes at a price.","Diese Ziele müssen vorrangig verfolgt werden, was seit langem unser gemeinsames Bestreben ist, doch müssen wir auch deutlich machen, daß sie nicht ohne die Erweiterung - mag sie auch Kosten verursachen - erreicht werden können."
2217,It is also important to reinforce the polluter pays principle because prices must speak the ecological truth.,"Wichtig ist auch die Stärkung des Verursacherprinzips, denn Preise müssen die ökologische Wahrheit sagen."
2218,"But I am also told that they were informed verbally of this decision by the Committee of Chairmen of Groups last Thursday, so they were fully aware of the decision.","Wie ich erfahren habe, wurden sie bereits letzten Donnerstag durch den Ausschuß der Fraktionsvorsitzenden mündlich über diese Entscheidung informiert. Ihnen war die Entscheidung also bekannt."
2219,"In a directly applicable exception system, consistency will depend firstly on the degree of clarity of the material rules.","Bei einem System der Legalausnahme hängt die Wahrung der Kohärenz in erster Linie davon ab, wie eindeutig die materiellen Bestimmungen sind."
2220,Does the Commission support the Council?,Unterstützt die Kommission den Rat?
2221,He should perhaps use his position on the Tobin tax to ask himself why he is here at all!,"Er sollte eigentlich mit seiner Position zur Tobin tax mal überlegen, warum er überhaupt hier ist!"
2222,"I would compare the situation with an earlier generation' s introduction of the Plimsoll line, a marking which was introduced to prevent insurance fraud involving inferior vessels.","Lassen Sie mich zum Vergleich die Einführung der Freibordmarke einer früheren Generation nennen, eine Kennzeichnung, die Versicherungsbetrug mit bedingt seetüchtigen Schiffen verhindern sollte."
2223,"They have a much wider responsibility. That wider responsibility concerns the management of the environment, food safety, foreign trade, the internal market and so many other responsibilities we have given them without the resources to deal with them.","Ihr Verantwortungsbereich ist viel weiter gefaßt: Es geht um den Schutz der Umwelt, um Lebensmittelsicherheit, Außenhandel, den Binnenmarkt und so viele andere Aufgabenbereiche, die wir ihr übertragen haben, ohne daß sie über die Mittel verfügte, sie zu bewältigen."
2224,Is it true that the contents of all parts of the proposal will be approved?,"Trifft es zu, daß der Vorschlag in allen Teilen angenommen wird?"
2225,"Without this transfer from Portuguese waters, the level of the Bay of Biscay TAC would have to be multiplied by ten in order to grant adequate catches to France.","Ohne die Quotenübertragung in portugiesischen Gewässern müßte die Höhe der zulässigen Gesamtfangmenge im Kantabrischen Meer um das Zehnfache erhöht werden, um Frankreich eine entsprechende Fischerei zu ermöglichen."
2226,"It is clear that, over the past couple of years, we have noticed an upward trend in agriculture and a downward one in structural expenditure.","Eindeutig ist in den letzten Jahren in der Landwirtschaft ein Aufwärts-, bei den Strukturfonds aber ein Abwärtstrend auszumachen."
2227,"The success of the Austrian Freedom Party owes as much to the endorsement of respectability provided by the Austrian right wing and social democrats as to the policy of the latter, whose social disasters paved the way for extreme right-wing populism.","Der Erfolg der FPÖ ist sowohl darauf zurückzuführen, daß sie durch die österreichische Rechte und die Sozialdemokratie hoffähig gemacht wurde, als auch auf ihre Politik, deren katastrophale soziale Folgen dem rechtsextremen Populismus den Weg bereitet haben."
2228,"The federalists imagine that they are thereby going to create unity through constraint, but this is a totally superficial concept.","Die Föderalisten meinen, sie könnten die Einheit durch Zwang erreichen, doch das ist eine völlig abwegige Annahme."
2229,Your Commissioners are clearly not solely responsible for this.,"Natürlich sind Sie, die Kommissare, nicht als einzige dafür verantwortlich."
2230,That is easier said than done - we are still discussing some of the toughest issues.,Das ist leichter gesagt als getan - wir diskutieren noch über einige der schwierigsten Fragen.
2231,"Mr President-in-Office of the Council, I must say that your comments have not satisfied me at all.","Herr amtierender Ratspräsident! Ich muß sagen, daß mich Ihre Ausführungen keineswegs zufriedengestellt haben."
2232,"Firstly, I would not wish to take up the philosophical issues of subsidiarity and the sovereignty of Member States, although I am very much in favour of having such a debate, for my regular viewing of British television programmes has shown me what the national politicians are conjuring up there in the way of threats posed by the continent to the home-grown legal system.","Erstens: Ich möchte nicht auf die philosophischen Fragen der Subsidiarität und der Souveränität der Mitgliedstaaten Bezug nehmen, obwohl ich sehr dafür bin, eine solche Debatte zu führen, weil mein regelmäßiger Blick in britische Fernsehsender mir doch offenbart, was dort von nationalen Politikern an Bedrohung für die heimische Rechtskultur durch den Kontinent beschworen wird."
2233,"Even the strictest control cannot solve this problem. It will, at best, lead to more bureaucracy and less room for local democracy and for people to get involved in choosing and developing projects.","Selbst die schärfste Kontrolle kann dieses Problem nicht aus der Welt schaffen, sondern generiert höchstens mehr Bürokratie und engt den Raum für die lokale Demokratie und Mitbestimmung der Bevölkerung bei der Auswahl und Ausgestaltung von Projekten ein."
2234,Too much of what takes place within this Parliament is not transparent.,"Zu vielem, was in diesem Parlament passiert, mangelt es an Transparenz."
2235,"The report seeks ""effective and ambitious fiscal coordination"" , without going on to define more specifically what this means.","Im Bericht wird eine ""wirksame und ehrgeizige steuerrechtliche Koordinierung "" gefordert, ohne diese näher zu definieren."
2236,This is a big task but it can be done.,"Das ist eine schwere Aufgabe, doch sie läßt sich durchaus bewältigen."
2237,It would be Europe' s undoing if we were to end up with just a few multinationals and no future for small and medium-sized businesses in Europe.,"Es wäre ein Verhängnis für Europa, wenn am Ende nur wenige Multinationale übrig blieben und der Mittelstand in Europa keine Zukunftschance hätte!"
2238,My second question concerns the burden of proof.,Meine zweite Frage betrifft die Beweislast.
2239,I think your intervention may clarify various points that were raised.,"Ihre Ausführungen können sicherlich dazu beitragen, verschiedene der hier aufgeworfenen Fragen zu klären."
2240,"I am not asking for details or specific points, but I believe that a mention was required.","Ich fordere von Ihnen keine Details oder präzisen Angaben, aber eine Erwähnung wäre, glaube ich, doch notwendig."
2241,In relation to Mrs Lynne's question on interim payments: that is a matter that might very well be addressed by Parliament as it relates to budget issues.,"Zu der Frage von Frau Lynne bezüglich der Interimszahlungen: Mit dieser Angelegenheit könnte sich sehr gut das Parlament befassen, da dieses Thema den Haushalt betrifft."
2242,We should ask ourselves to what extent this spending of funds was justified.,"Es wäre zu erörtern, in welchem Maße diese Geldausgabe für eine Scheineinweihung gerechtfertigt war."
2243,The largest volume transferred in one year has been 453 and the average volume over twenty years has been over 200.,"Die größte in einem Jahr übertragene Menge betrug 453, und das Übertragungsmittel in 20 Jahren liegt bei etwas über zweihundert."
2244,Last October I expressed my views on the Hatzidakis report on the transport of dangerous goods by rail.,. (FR) Im Oktober letzten Jahres hatte ich zum Bericht Hatzidakis über die Eisenbahnbeförderung gefährlicher Güter das Wort ergriffen.
2245,"However, after verification it is precisely in this legal manner and specifically according to the post-Berlin Structural Funds Regulation that we must define and read the additionality principle.",Doch so ist jedenfalls - wie ich überprüft habe - juristisch und eben auf der Grundlage der Strukturfondsverordnung seit Berlin der Grundsatz der Zusätzlichkeit zu verstehen und zu deuten.
2246,The poorest regions are gradually making good their underdevelopment.,Die ärmsten Regionen holen ihren Entwicklungsrückstand allmählich auf.
2247,"Firstly, and this is perhaps the basic point of the proposal, the idea, which goes hand in hand with recycling and the use of waste, that we should use materials which will subsequently cause less pollution.","In erster Linie, und das ist vielleicht das Wesentliche an diesem Vorschlag, auf den dem Recycling und der Abfallverwertung zugrunde liegenden Gedanken, Materialien zu verwenden, die danach weniger umweltschädlich sind."
2248,"But, listening to you, Commissioner, we are somewhat frustrated because anyone already involved in these matters knows that in 1992, I believe, the Commission and Parliament drew up a very interesting text which already contained all the proposals included in the resolution drawn up by the transport committee.","Über Ihre Ausführungen, Frau Kommissarin, sind wir ein wenig frustriert, weil diejenigen, die sich mit diesen Fragen befaßt haben, wissen, daß die Kommission und das Parlament - ich glaube 1992 - einen sehr interessanten Text vorbereitet hatten, der bereits alle Vorschläge enthielt, die in der heute vom Verkehrsausschuß erarbeiteten Entschließung vorkommen."
2249,"With the planned accession of a large number of these countries in the foreseeable future, it is a matter of urgency to review the current structural policy.","In Anbetracht des in absehbarer Zeit geplanten Beitritts etlicher dieser Länder halte ich es für dringend geboten, die derzeitige Strukturpolitik zu überprüfen."
2250,"Let us, in particular, focus attention on the re-admission clauses, which present a threat to the Geneva Convention and which should be blocked.","Ich meine besonders die Praxis der Rückführungsvereinbarungen, die re-admission clauses, die die Genfer Konvention gefährden und die es zu bekämpfen gilt."
2251,"The European Union needs few, if any, new instruments, and it does not need any new competences.","Die Europäische Union braucht keine neuen oder kaum neue Instrumente, keine neuen Kompetenzen."
2252,"Mr President, I am taking the floor to speak about INTERREG, but I shall confine myself to a few criticisms, which will clearly also enable me to keep to my speaking time.","Herr Präsident, ich werde mich mit meinen Ausführungen zu INTERREG auf einige kritische Aspekte beschränken, auch um selbstverständlich die mir zur Verfügung stehende Redezeit einzuhalten."
2253,But it is not just a question of preventing or putting a stop to sickening instances of aggression perpetrated by individuals or institutions against those in a weaker position.,"Aber es genügt nicht, empörende Übergriffe abzuwenden oder zu beenden, die von Personen oder Institutionen gegen die Schwächsten verübt werden."
2254,The procedure in the field of competition is basically contained in Regulation 1762.,Das Verfahren auf dem Gebiet des Wettbewerbs ist grundsätzlich in der Verordnung Nr. 17/62 enthalten.
2255,"However, things are really quite different.",Allerdings liegen die Dinge völlig anders.
2256,But information which includes a fundamental disagreement between scientists on core issues relating to food safety is also an issue of serious concern.,"Aber Informationen, aus denen hervorgeht, daß die Wissenschaftler entgegengesetzte Ansichten zu Kernfragen der Lebensmittelsicherheit vertreten, sind ebenfalls recht bedenklich."
2257,"If it is merely a hand-me-down legal basis taken over from previous directives, then it is a mistake to keep it.","Wenn sie nur eine tradierte und aus den früheren Richtlinien übernommene Rechtsgrundlage ist, dann ist es ein Fehler, sie beizubehalten."
2258,That statement could not be much clearer.,Die Aussage könnte nicht eindeutiger sein.
2259,"All the international community has to do is implement Resolutions 332, 248, 245 and 194.","Die internationale Völkergemeinschaft muß ganz einfach die UN-Resolutionen 332, 248, 245 und 194 erfüllen."
2260,I am delighted to welcome a delegation of the Hong Kong Legislative Council to Parliament.,"Ich freue mich, eine Delegation des Legislativrats von Hongkong im Parlament zu begrüßen."
2261,"My urgent request, which has been echoed many times in resolutions, is the following: could you not confer so that observers can be sent to the Moluccas?","Meine dringende Forderung lautet, und auch dieser Punkt findet sich mehrmals hier in Entschließungen: Man möge erwägen, Beobachter auf die Molukken zu entsenden."
2262,"I should, however, like to add that it only makes sense if we ensure that the new TSE regulation allows a reasonable symbiosis between consumer protection and practicable suggestions.","Ich möchte aber auch hinzufügen, daß dies nur Sinn macht, wenn wir bei der künftigen neuen TSE-Verordnung strikt den Verbraucherschutz und die Praktikabilität der Vorschläge zu einer vernünftigen Symbiose werden lassen."
2263,"However, it is almost impossible to understand and correctly assess all the different situations and expectations.","Aber alle Situationen und Erwartungen zu kennen und genau zu bewerten, ist eine fast unmögliche Aufgabe."
2264,I protest against an ignoble and inhuman organisation which literally condemns hundreds of millions of human beings to a wretched death to enrich a minority.,"Ich wende mich gegen eine unwürdige und unmenschliche Organisation, die hunderte Millionen menschlicher Wesen buchstäblich vor Armut krepieren läßt, um den Reichtum einer Minderheit zu mehren."
2265,It sets out over 80 separate actions that are envisaged over the period ahead and intends to close identified loopholes in current legislation.,"Für die nächsten Jahre sind im Weißbuch mehr als 80 Einzelmaßnahmen aufgeführt, und zudem sollen erkannte Lücken in den derzeitigen Rechtsvorschriften geschlossen werden."
2266,Two of the amendments tabled and adopted unanimously by the committee relate precisely to this amended comitology procedure.,Die eingereichten und vom Ausschuß einstimmig angenommenen Änderungsanträge beziehen sich in zwei Fällen auf eben dieses veränderte Komitologieverfahren.
2267,"We know that the European Union has its own dynamics, which stem above all from the Treaty of Amsterdam, which has reinforced its political dimension. This inevitably has important consequences for the proposal for coherence in policies relating to development.","Wir wissen, daß die Europäische Union einer Eigendynamik unterliegt, die vor allem aus dem Vertrag von Amsterdam herrührt, der ihre politische Dimension vergrößert, was für die Voraussetzungen der Kohärenz bei den Politiken im Entwicklungsbereich nicht ohne erhebliche Folgen bleibt."
2268,"Does the Commission intend to put forward lowest common denominator policies which will properly reflect the admittedly extreme but nonetheless real-life situation of these women, or will their plight once again be overlooked by the new employment policies?","Wird die Kommission diesen Grenzsituationen, die jedoch real sind, angemessene Politiken, die Mindestanforderungen genügen, vorschlagen? Werden diese Frauen durch die neuen Beschäftigungspolitiken erneut nicht berücksichtigt werden?"
2269,I have some experience in drawing up plans and following them up.,"Ich habe einige Erfahrung darin, Pläne aufzustellen und sie weiterzuverfolgen."
2270,"But now I call on you, in all consciousness, to help put a stop to speculative financial transactions and undermining long-term projects with long-term capital.","Jetzt fordere ich Sie auf - ganz bewußt -, einen Beitrag zu leisten, um das spekulative Finanzkapital zu stoppen, um endlich einmal long term projects mit long term capital zu unterminieren."
2271,"Commissioner, it is quite significant that at the beginning of this new century people in Europe, men and women, are being called upon to redefine their rights and obligations.","Herr Kommissar, es ist ausgesprochen wichtig, daß die Bürger Europas, Männer wie Frauen, zu Beginn dieses neuen Jahrhunderts aufgerufen sind, ihre Rechte und Pflichten neu zu bestimmen."
2272,Now is the time for Europe to put its own house in order; to instil in its institutions - as the independent experts might have said - a sense of responsibility.,"Jetzt ist es für die Organe Europas an der Zeit, ihr Haus in Ordnung zu bringen und - so hätten es wohl die unabhängigen Sachverständigen bezeichnet - ein Mindestmaß an Verantwortungsbewußtsein zu entwickeln."
2273,"Is the Commission ready to suspend funding completely, pending a review of the development plans of the area?","Ist die Kommission bereit, die Finanzierung bis zur Überprüfung der Flächennutzungspläne für das Gebiet ganz auszusetzen?"
2274,"The second point I would like to make is that we would have preferred it if the guidelines had been added to the regulation in the form of an annex, as we and Mrs McCarthy, as rapporteurs for the general regulation, had asked.","Zweitens: Wir hätten es lieber gesehen, wenn die Leitlinien der Verordnung als Anhang beigefügt worden wären, wie wir es von Frau McCarthy als Berichterstatterin für die allgemeine Verordnung gefordert hatten."
2275,I am not so sure that our Dutch Members will be reassured on the grounds that the Irish Members too are unable to receive a national channel.,"Ich weiß nicht, ob das unsere niederländischen Kolleginnen und Kollegen beruhigt, denn auch unsere irischen Kolleginnen und Kollegen können keinen nationalen Sender empfangen."
2276,"Without protection under intellectual property law, creativity is inhibited and financial incentives obstructed.",Ohne Schutz des geistigen Eigentums werden die finanziellen Anreize und die Kreativität gehemmt.
2277,The foregoing is the reason for our vote.,Dies ist der Grund für unsere Abstimmungsentscheidung.
2278,We hope that it will at least revisit the aspects that we have mentioned.,"Wir erwarten, daß sie wenigstens noch die von uns genannten Gesichtspunkte überprüft."
2279,"During the new programme period, in view of enlargement and bearing in mind that funding has been provided for from new financial instruments and regulations, such as ISPA and Sapard, it is considered absolutely essential to coordinate the funding of all three strands of INTERREG with other financial aid to third countries.","Angesichts der Erweiterung sowie der Tatsache, daß Beihilfen aus neuen Finanzierungsinstrumenten und Verordnungen - ISPA und SAPARD beispielsweise - vorgesehen sind, erweist es sich im neuen Programmplanungszeitraum als unbedingt notwendig, die Finanzhilfen sowie die drei Bereiche von INTERREG auf die anderen für Drittländer bereitgestellten Finanzmitteln abzustimmen."
2280,"I assume that, although the exact number of businesspeople included in this figure is not known, their number will most definitely not be low.","Die Zahl der Geschäftsleute unter ihnen ist zwar nicht genau bekannt, dürfte aber sicherlich nicht gering sein."
2281,"Even though many developments cast doubt on this, we did believe, in spite of everything, that this was the case and, more recently, reference was made, albeit half-heartedly, to the principle of subsidiarity.","Auch wenn zahlreiche Entwicklungen Zweifel darüber aufkommen ließen, waren wir überzeugt, daß dies trotz allem der Fall war - und erst kürzlich war ja wieder - wenn auch nur widerwillig - vom Prinzip der Subsidiarität die Rede."
2282,"They need a 'European soul' , as a distinguished Spanish professor once said.","Sie brauchen die ""europäische Seele"" , wie ein namhafter spanischer Professor sagte."
2283,"I repeat, a ""serious and persistent breach"" is the condition necessary for the Commission to be able to propose to the Council that measures be adopted against a Member State.","Ich wiederhole, eine schwerwiegende und anhaltende Verletzung ist die unabdingbare Voraussetzung dafür, daß die Kommission dem Rat vorschlagen kann, Maßnahmen gegen einen Mitgliedstaat zu ergreifen."
2284,I can gauge its importance for my country' s international reputation.,Ich bin mir deren Bedeutung für das internationale Ansehen meines Landes wohl bewußt.
2285,We hope that the Commission can reassure us that this was an oversight which is now being dealt with constructively.,"Wir hoffen, daß uns die Kommission davon überzeugen kann, daß es sich dabei lediglich um ein Versehen handelt, das umgehend korrigiert wird."
2286,We will cut back our time a little because the interpreters are working today in continuous session.,"Wir werden unsere Zeit etwas beschneiden, weil die Dolmetscher heute durchgehend arbeiten."
2287,"Let us hope - and we do hope - to be guided by the winds of change created by the Intergovernmental Conference, the reform of the Commission - which will also affect the development services -, this new legislature and the prospects for enlargement, to perfect a more coherent political union.","Hoffen wir - und wir tun es -, daß uns der Wind der Veränderung leitet, den uns die Regierungskonferenz, die Reform der Kommission - die auch die Entwicklungsdienste betreffen wird -, diese neue Wahlperiode und die Perspektiven der Erweiterung bringen, um eine kohärentere politische Union weiter zu vervollkommnen."
2288,"We must liberalise trade within the region and between the region and the European Union; we must contribute to building infrastructural links that will end its centuries-old isolation; we must intensify efforts to build a democratic, pluralist society in these countries with institutions, public structures, police forces and a structured civil society, but, above all, we must press these countries to work together in the context of a united region, as regards both politics and the economy.","Wir müssen den Handel innerhalb dieser Region und mit der Europäischen Union liberalisieren; wir müssen zum Aufbau von Infrastrukturnetzen beitragen, um eine jahrhundertelange Isolation zu durchbrechen; wir müssen uns verstärkt darum bemühen, in diesen Ländern eine demokratische und pluralistische Gesellschaft mit Institutionen, öffentlichen Strukturen, Polizeikräften und einer Zivilgesellschaft aufzubauen, vor allem aber müssen wir diese Länder zur Zusammenarbeit für eine gemeinsame politische und wirtschaftliche Perspektive der Region ermutigen."
2289,"I would like to thank the rapporteurs, particularly Mr Decourrière, for his sensitivity towards the regions and for accepting our amendments.","Wir danken den Damen und Herren Berichterstattern, insbesondere Herrn Decourrière, für das Einfühlungsvermögen in Sachen Regionalpolitik und für die Berücksichtigung unserer Änderungsanträge."
2290,"Whether or not this will encourage her to continue along the same path, I cannot say. Nevertheless, I would like to commend her on her work.","Vielleicht wird sie dadurch ermutigt, in diese Richtung weiterzuarbeiten, auf jeden Fall möchte ich ihr aber meine Glückwünsche aussprechen."
2291,"I therefore understand why we are meeting at this time, which is usually set aside for other activities and not for debates, discussions and the exchange of information.","Es ist mir also klar, weshalb wir zu dieser Stunde zusammenkommen, die gewöhnlich für andere Tätigkeiten bestimmt ist und nicht dafür, eine Aussprache sowie einen Meinungs- und Informationsaustausch zu führen."
2292,"Even though we have not yet finished constructing all the economic building blocks, we are moving on from that kind of functionalist building of Europe to a much more challenging political perspective.","Auch wenn noch an den wirtschaftlichen Bausteinen gearbeitet wird, lassen wir das rein funktionale Gebilde Europa zurück und wenden uns einer von größeren Herausforderungen geprägten politischen Perspektive zu."
2293,"President Prodi, today you have presented the Commission' s five-year programme, and it has many objectives that we endorse. It is a programme based on real-life situations and issues, and it is therefore right to put concrete measures aside for the moment and focus on the major issues.","Herr Präsident Prodi, Sie haben uns heute ein Fünfjahresprogramm der Kommission mit zahlreichen vertretbaren Zielen vorgestellt; ein Programm mit verschiedenen Szenarien und Themen, weshalb es richtig ist, abgesehen von den konkreten Elementen, bei den großen Themen zu bleiben."
2294,My group strongly welcomes the IGC and will be contributing to this Treaty reform process to the maximum possible extent.,Meine Fraktion begrüßt die Regierungskonferenz ausdrücklich und wird so weit wie nur irgend möglich zu diesem Prozeß der Vertragsreform beitragen.
2295,That seems to me to be rather too long.,Das erscheint mir etwas zu lang.
2296,Water is often a source of conflict between countries and peoples.,Wasser löst oft Konflikte zwischen Ländern und Bevölkerungsgruppen aus.
2297,The Union is currently restricted to a policy of stability which is certainly necessary but insufficient.,"Die Union beschränkt sich gegenwärtig auf eine Stabilitätspolitik, die zwar notwendig, aber nicht ausreichend ist."
2298,"I would like to say, Mr Ortuondo Larrea, that in its judgement of 5 October 1999, the European Court of Justice ruled that this transfer, which was approved, was in accordance with the principles laid down in Council Regulation 37/60/92 and, specifically, with its Article 9(1), which stipulates that Member States may exchange all or part of the fishing rights that they have been allocated.","Herr Abgeordneter, ich möchte darauf hinweisen, daß der Europäische Gerichtshof in seinem Urteil vom 5. Oktober 1999 entschieden hat, daß diese Quotenübertragung, die Übertragung, die angenommen wurde, im Einklang mit den in der Ratsverordnung 37/60/92 festgelegten Grundsätzen steht, insbesondere mit Artikel 9 Absatz 1 dieser Verordnung, dem zufolge die Mitgliedstaaten die Gesamtmenge oder einen Teil der ihnen zugewiesenen verfügbaren Fischereiquoten austauschen können."
2299,We think they should.,"Wir sind der Auffassung, daß das richtig ist."
2300,Do not continue in this vein!,Setzen Sie dies nicht fort!
